Before_opt_smiles,After_opt_smiles
CCc1ccccc1N(C(=O)c1ccco1)C(C(=O)NC1CCCC1)c1ccc(N2CCOCC2)cc1,C[C@@H](c1ccc(N2CCOCC2)cc1)[C@@H](NC1CCCC1)C(=O)O
CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccccc3C)nc3ccccc23)cc1,Cc1ccccc1-c1cc(C(=O)O)c2ccccc2n1
COc1ccc(C=C(C#N)c2nc3ccccc3[nH]2)cc1OC(C)=O,Cc1ccc(S(=O)(=O)/C=C(\C#N)c2nc3ccccc3[nH]2)cc1
CCOc1cc(C2NC(=O)NC(C)=C2C(=O)Nc2cccc(C(F)(F)F)c2)ccc1OCC(=O)O,CC1=C(C(=O)Nc2cccc(C(F)(F)F)c2)[C@H](C)NC(=O)N1
CC(=NNC(N)=O)C(=Cc1ccc(Br)cc1)c1ccccc1,COC(=S)c1ccc(/C(C)=N/CC(N)=O)c2ccccc12
O=C(CCN1C(=O)c2ccccc2C1=O)Nc1sc2c(c1C(=O)NCCc1ccccc1)CCC2,O=C(NCCc1ccccc1)c1c(Cl)sc2c1CCC2
C[N+](C)(C)CCOC(=O)c1c2ccccc2cc2ccccc12,O=C(NCCC1CCO1)c1c2ccccc2cc2ccccc12
CCCCCOC(=O)CN1C(=O)CSC1c1ccc(COC(C)=O)o1,CCCCCSC(=O)CN1C(=O)CSC1CCC(=O)NCC
CC(=NN(Cc1ccccc1)c1ccccc1)c1ccccc1,c1ccc(CN(NC[NH+]2CCCC2)c2ccccc2)cc1
CCC(C)NC(=O)c1cc(-c2ccc([N+](=O)[O-])cc2)nn1-c1ccc(Cl)cc1,CCC(C)NC(=O)c1cc(N2CCN(C#N)CC2)nn1-c1ccc(Cl)cc1
COc1ccc(N(C)S(=O)(=O)c2cccc(C(=O)OCC(=O)Nc3cc(F)ccc3F)c2)cc1,COc1ccc([C@@H](C)S(=O)(=O)c2cccc(C)c2)cc1
Cc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccccc2Cl)cc1,CN1CCN(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccccc2Cl)CC1
Cc1ccccc1-c1nnc(-c2cc(C(=O)NN)c(C)nc2C)o1,Cc1nc(C)c(C(=O)ON)cc1C(=O)Nc1ccc(Cl)cc1
CCCCOc1ccccc1C(=O)OCCCN1CCCCC1C,CC1CCCCN1CCCOC(=O)c1c[nH]c2ncccc12
CCCC(=O)Nc1cc(OCC)c(NC(=S)Nc2cc(C)ccc2C)cc1OCC,CCCC(=O)Nc1cc(OCC)c(NC(=O)CCC#N)cc1OCC
Cc1cc(Br)ccc1OCC(=O)NNC(=S)NC(=O)COc1ccc(Cl)cc1,CC(CCc1ccc(F)cc1)SCCOc1cc(Cl)ccc1Cl
COc1cccc(NC(=O)C(OC(=O)C=Cc2ccc3c(c2)OCO3)c2ccccc2)c1,COc1cccc(NC(=O)C(O)c2ccccc2)c1
Cc1ccc(OCCCn2cnc3sc(-c4ccccc4)cc3c2=O)cc1,O=C(CN1C=NC2CC(c3ccccc3)C=C2C1=O)Nc1cccc(Cl)c1
O=[N+]([O-])c1cc(C=Nn2cnnc2)ccc1Sc1ncn[nH]1,O=[N+]([O-])c1cc(/C=C/N2CCCCC2)ccc1Sc1ncn[nH]1
