Before_opt_smiles,After_opt_smiles
O=C(COc1ccc2c3c(c(=O)oc2c1)CCC3)NCc1cccnc1,O=C(Nc1cc2ccccc2cc1Cl)Sc1ccc2c3c(c(=O)oc2c1)CCC3
CN(C)CCCN1C(=O)C(=O)C(=C(O)c2ccc(S(=O)(=O)N(C)C)cc2)C1c1ccc(F)cc1,C=C1/C(=N\c2ccc(-c3ccccc3)[nH]2)C(=O)N(CCCN(C)C)C1c1ccc(I)cc1
COc1cc2c(c(OC)c1OC)-c1ccc(NCCO)c(=O)cc1C(NC(C)=O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(N/C=N/C(C)C)cc1C(NC(C)=O)CC2
CCC(C)C(NC(=O)C1CSC2c3ccccc3C(=O)N12)C(=O)NC(C)CO,O=C1c2ccccc2C2SCC(c3nc(Cc4ccccc4)c[nH]3)N12
CNC(=O)C(C#N)=c1sc(=Cc2ccccc2OC)c(=O)n1-c1ccccc1,CNC(=O)/C(C#N)=C1/N(c2ccccc2)C(=O)C2=Cc3cc(Cl)ccc3C[P+]21
CC(=O)N1CC(C(=O)OCC(=O)N2CCCCCCC2)Oc2ccccc21,O=C(COC(=O)c1nc2cc(Cl)ccc2s1)B1CCCCCCC1
COc1ccccc1CNC(=S)N1CCC2(CCN(C(=O)CNC(=O)c3ccco3)CC2)C1,O=C(NCC(=O)N1CCC2(CC1)CCN(C(=O)Nc1ccccc1Cl)C2)[C@H]1CC=CO1
CN(Cc1cccc(Cl)c1)C(=O)CN1C(=O)C(=O)N(C2CCCC2)C1=O,O=C1C(=O)N(C2CCCC2)C(=O)N1Cc1ccc2ccccc2c1
NC(=O)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1,C=C(C[S-]/C(N)=N/N1CCC(S(=O)(=O)c2ccc(Cl)cc2)CC1)c1ccccc1
COC(=O)CN1C(=O)NC(=Cc2ccc(C(C)(C)C)cc2)C1=O,COC(=O)CN1C(=O)N/C(=C/C=C(\C)COc2ccccc2Br)C1=O
O=C(COc1ccc(Cl)cc1)NNC(=S)NC(=O)c1ccco1,O=C(NC(=S)N/N=C/c1ccc(-c2ccccc2)cc1)c1cccs1
COC(=O)C(CC(C)C)NC(=O)COC(=O)c1cc(Cl)c2c(c1)OCCO2,C/C(=C\SC(=O)c1cc(Cl)c2c(c1)OCCO2)C(=O)Nc1ccccc1Cl
COc1cccc(NC(=O)CN(C)C(C)C(=O)Nc2ccc3c(c2)OCCO3)c1,Cc1ccc(CSC(=S)SC(C)C(=O)Nc2ccc3c(c2)OCCO3)cc1C
NC(=O)C1CCN(C(c2ccccc2Cl)c2nnnn2CC2CCCO2)CC1,CC/C(C[C@@H](c1ccccc1Cl)N1CCC(C(N)=O)CC1)=N\Nc1ccccc1
COc1ccc(C=O)c(C(=O)OC(C)C(=O)NC(=O)NC2CCCCC2)c1OC,CC1SC(c2ccc(Cl)c(Cl)c2)=CC=C1NC(=O)NC1CCCCC1
O=C(CNCC1CCCO1)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,O=C(COCC1CCCO1)N1CCN(c2ccc3c(Cl)cccc3c2)CC1
Cc1cccc(NS(=O)(=O)c2cccc(C(=O)N3CCOCC3)c2)c1,O=C(c1cccc(-c2cccc(-c3ccccc3)c2)c1)N1CCOCC1
COc1ccc(CC(=O)OCC(=O)NC2(C#N)CCCCC2)cc1,N#CC1(NC(=O)CSCCCc2ccccc2Cl)CCCCC1
CC(C)(C)NS(=O)(=O)c1ccc(OCC(=O)NCC2CCCO2)cc1,C=C=C=C=C=C=C=C=C=C=C=C(CC(=O)Nc1cccc(Cl)c1)c1ccc(S(=O)(=O)NC(C)(C)C)cc1
CCCCNC(=O)NS(=O)(=O)c1ccc(C(C)NC(C)=O)cc1,CC(=O)N[C@@H](C)c1ccc(-c2nc(/C=C/c3cccc(Br)c3)oc2Cl)cc1
CN(C)S(=O)(=O)c1ccc(C(O)=C2C(=O)C(=O)N(CCN3CCOCC3)C2c2cccc(Cl)c2)cc1,O=C1C2=NC(/C=C/c3ccccc3Cl)=CC2C(c2cccc(Cl)c2)N1CCN1CCOCC1
Cc1ccc(CN2CC2C(=O)NCCSCc2ccco2)o1,O=C(NCC[12CH2]Cc1ccco1)Oc1cccc(Cl)c1Br
CC(=O)Nc1ccc(C(=O)COC(=O)CCN2C(=O)C3CCCCC3C2=O)c(F)c1,O=C(CCN1C(=O)[C@H]2CCCC[C@H]2C1=O)Oc1ccc(-c2ccc(Cl)cc2)cc1
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CCn1cc(C(=O)O)c(=S)c2cc(F)c(-c3ccc(OC)cc3)cc21
O=C(Cn1nc(-c2ccc(F)cc2)ccc1=O)N1CCN(c2ccccc2)CC1,O=c1ccc(-c2ccc(F)cc2)nn1CCc1ccc(-c2c[nH]c3ccsc23)cc1
CCCC(C)NS(=O)(=O)c1cc(C(=O)O)ccc1OC,COc1ccc(C(=O)O)cc1[S-]c1ccc(Cl)s1
NS(=O)(=O)c1ccc(NC(=O)NC2CC(=O)N(c3cccc(F)c3)C2)cc1,COc1ccccc1Oc1ccc([CH2+]C2CC(=O)[SH](c3cccc(F)c3)C2)cc1
COC(=O)C(CC(C)C)NC(=O)CNS(=O)(=O)c1ccc(OC(F)(F)F)cc1,O=S(=O)(N[C@H](F)CSc1ccc(Cl)cc1Cl)c1ccc(OC(F)(F)F)cc1
Cc1ccc(OCC(=O)OC(C)C(=O)Nc2ccc(S(N)(=O)=O)cc2)c(C)c1,COc1ccc(C2=CC=C(Nc3ccc(S(C)(=O)=O)cc3)C(C)S2)cc1
