HBA,SMILES
4.0,COc1ccc(S(=O)(=O)NCc2ccc3cc(Br)cnc3c2)cc1
4.0,O=c1c2[nH]c3ccccc3c2nnn1CCCc1ccccc1
2.0,O=Cc1ccc(SCc2ccccc2)c(Br)c1
4.0,C=Cc1ccc(NC(=O)CSc2n[nH]c(C)n2)cc1
4.0,CCCn1[nH]c2cc(S(=O)(=O)NC(C)F)cc(I)c2c1=O
4.0,CCc1cc2c(nc1SCc1ccccc1)OCc1cccc(O)c1-2
4.0,CCOc1ccc(C(=O)COC(=O)c2cccc(Cl)c2Cl)cc1
3.0,O=S(=O)(Nc1ccccc1)c1ccc(O)c(I)c1
5.0,CC(C)Nc1nnc(CC(=O)c2ccc(Br)cc2)s1
4.0,COc1cccc(Cl)c1C(=O)OCC(=O)Nc1ccc(F)cc1
2.0,Cc1ccc2c(c1)[S-]C(NC(=O)c1ccc(Cl)c(Cl)c1)=C2Cl
3.0,COc1ccc(/C=N/NC(=O)Nc2ccc(Br)cc2Br)cc1
4.0,Cc1cccc2sc(NC(=O)CSc3ccc(Br)cc3)nc12
3.0,O=C(Nc1ccc([N+](=O)[O-])c(Cl)c1)c1ccccc1Cl
5.0,O=C(Nc1nncs1)c1ccc(OC/C=C/c2cccc(Cl)c2)cc1
3.0,Cc1ccn2c(CC(=O)NCC(C)c3ccc(Cl)cc3)cnc2c1
3.0,COc1ccc(C[NH2+]C2COc3ccccc3O2)cc1Cl
4.0,CNS(=O)(=O)c1ccc(CNCC2=CC=C[S-]2)cc1
4.0,O=C(N/N=C/C1=CC=C2C=CCC=C2C1)c1ccc([N+](=O)[O-])cc1
3.0,Cc1ccc2cccc(C(=O)OCC(=O)Nc3cccc(Cl)c3)c2c1C
5.0,CSc1cccc(C(=O)CCN2C(=O)c3ccccc3S2(=O)=O)c1
3.0,CCN(C)c1ccc(C(C(C)C)N2CNc3ccccc3C2=O)cc1
3.0,CCOc1ccc(C(=O)[NH+]/N=C/c2ccccc2Cl)cc1Br
4.0,Cc1cccc2c1N=C(NC(=O)COc1ccc(Br)cc1)C(=O)C2
2.0,O=c1[nH]c2cc(Cl)ccc2cc1CCCOc1cc(Cl)ccc1Cl
4.0,COc1ccc(OCC(=O)OCc2cccc(Cl)c2Cl)cc1
5.0,COc1cc(C)ccc1-c1coc2cc([N+](=O)[O-])ccc2c1=O
3.0,O=C(/C=C/c1cc(O)cc(Cl)c1)c1cnc2cc(Br)ccc2c1
2.0,O=C(Nc1ccc2c(-c3ccccc3)coc2c1)c1ccccc1
2.0,Cc1ccc(OCC(=O)Nc2ccc(C(F)(F)F)cc2)cc1
5.0,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)C1CC(=O)N(c2ccccc2Cl)C1
3.0,COc1ccc(/C=C/c2c[nH]c3cc([N+](=O)[O-])ccc23)cc1Br
5.0,Cc1ccc2c(c1)C=C(C(=O)OCC(=O)Nc1ccccc1C#N)C(C)N2C
2.0,Cc1cccc(C)c1NC(=O)CCC(=O)NCCCC(C)C
3.0,O=C(NCc1cc(F)cc([N+](=O)[O-])c1)c1ccc(Cl)c(Cl)c1Cl
4.0,CC[S-]CCC(=O)OCC(=O)Nc1ccccc1Br
4.0,O=C(COc1cc2ccccc2cc1Br)Nc1ncc(Br)s1
5.0,Cc1ccc(C(=O)OCC(=O)Nc2ccc([N+](=O)[O-])c(Br)c2)c(C)c1
5.0,Cc1ccc(OCC(=O)NNC(=O)c2ccc3c(c2)OCO3)cc1C
4.0,COc1ccc(CS(=O)(=O)Cc2ccc(OC(C)C)cc2)cc1
