HBD,SMILES
2.0,O=C(CCCc1ccccc1)Nc1cccc(NC(F)(F)Cl)c1
2.0,O=C(CCC(=O)Nc1c(F)cccc1Cl)Nc1ccc2ccccc2c1Cl
2.0,COc1ccc(CCC(=O)NC(=O)Nc2ccc(OC)cc2)cc1
1.0,O=C(COC(=O)/C=C/c1cccc(Br)c1)NCCc1ccccc1
2.0,N=C(CCC(=O)NCc1cc(-c2ccccc2)nnn1)c1ccccc1
2.0,S=C(NCc1ccc2c(c1)OCO2)Nc1ccc(-c2nccs2)cc1
3.0,COc1ccc(NC(=S)NC(=S)Nc2cccc([N+](=O)[O-])c2)cc1
2.0,O=C(C[NH2+]C(=O)Cc1ccc(Br)cc1)Nc1ccc2c(c1)OCO2
2.0,CCc1ccc(NC(=O)COc2ccc(C(=O)C(=O)O)cc2)cc1
2.0,CCOc1ccc(OCC(=O)NC(=[SH2+])[NH2+]c2ccc(Br)cc2CC)cc1
2.0,N#Cc1cccc(C(=O)NC(=O)COc2ccc(N)cc2)c1
2.0,CC(C)NNC(=O)CSc1nnc(COc2ccc(Cl)cc2)o1
2.0,O=C(N/N=C/c1cc(Br)ccc1O)c1cc2c(o1)C=C[S-]2
1.0,O=Cc1ccc(CC(=O)OCC(=O)Nc2ccc(Cl)c(Cl)c2)cc1
2.0,Cc1nc(-c2ccccc2)sc1NC(=O)COC(=O)NC(C)C(C)C
2.0,S=C(NCCc1ccccc1)Nc1ncnc2c3c(sc12)CCCC3
1.0,O=C(N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1Cl
2.0,COC(=O)c1ccc(Nc2nc(=S)[nH]c3ccccc23)cc1
2.0,Cc1ccccc1NC(=O)CSc1nnc(C(=O)Nc2ccc(F)cc2)o1
1.0,CCCCCCNCCCOc1ccc([N+](=O)[O-])cc1Br
1.0,O=C(Cc1ccccc1F)N/N=C/c1ccccc1Cl
3.0,O=C(CCNC(=O)C(=O)c1ccccc1O)Nc1cccc(Cl)c1
1.0,CCOc1ccc(C(=O)N/N=C/c2ccc(Cl)cc2)cc1
2.0,O=C(Nc1ccccc1O)c1ccc(-c2ccc(Br)cc2)cc1
2.0,O=C(CCC(=O)NC1CCCC1)Nc1ccc(Br)cc1
2.0,O=C(COCC(=O)Nc1cccc(Cl)c1)Nc1ccc([N+](=O)[O-])cc1
2.0,CC(C)CCCOc1ccc(-n2c(=O)[nH]c(=O)[nH]c2=S)cc1
3.0,O=C(NC(=S)Nc1ccccc1)c1cc(Br)ccc1O
1.0,O=C(NCCCN1CCOCC1)c1cccc2ccccc12
2.0,Cc1ccc(NC(=O)C(=O)Nc2ccccc2)c(C)c1
2.0,CCC[NH2+]Cc1nc(=O)c2ccccc2[nH]1
2.0,Cc1ccc(NC(=S)NCc2cc3ccccc3nn2)cc1
1.0,CCCNCSCCC
2.0,CCCCCCNC1=NN=C(N)[S-]1
2.0,COc1ccc(NC(=O)CCC(=O)NC(C)C)cc1
2.0,O=C(N/N=C/c1cccc(Br)c1)c1c[nH]c(CCc2ccco2)n1
2.0,O=C(COc1ccccc1)NC(=[SH+])Nc1ccc(Br)cc1
1.0,O=C(COC(=O)COc1ccccc1[N+](=O)[O-])Nc1ccccc1F
1.0,CCCCCNC(=O)COC(=O)c1ccc(Cl)c(Cl)c1
2.0,CCOc1ccc(C(=O)NC(C)C(=O)Nc2cccc(F)c2)cc1
2.0,COc1ccc(NC(=O)CCCC(=O)Nc2cccc(Cl)c2)cc1
2.0,CC(Cc1ccco1)NC(=S)NC(=O)c1ccc(C(F)(F)F)cc1
3.0,Nc1cc(C(=O)Nc2ccc(Cl)c(Cl)c2)[nH]n1
2.0,CC(C)CCNC(=S)N/N=C/c1ccco1
2.0,Cc1ccc(OCC(=O)NCCC(=O)Nc2c(C)cc(F)c(C)c2C)cc1
1.0,N#Cc1nccc(Nc2ccccc2)c1-c1ccccc1
3.0,Cc1ccc(NC(=O)CCNCC(=O)Nc2ccccc2F)cc1Cl
1.0,CC(OCC(=O)Nc1ccc2c(c1)OCO2)C(C)Oc1ccccc1
2.0,O=C(NCC1CCOC(=O)C1)NC1CCCCC1
3.0,O=C(O)NC(=O)C[S-]c1nnc(NC2=CCC=C2)s1
2.0,CCCCNC(=S)NCc1ccc2c(c1)OCO2
1.0,CCOc1ccc(/C=N/NC(=O)c2ccc(OC)cc2)cc1
2.0,Cc1cccc(NC(=O)C[S-]C2=NCC(C)CN2)c1
1.0,COc1ccc(CC(=O)N/N=C/c2ccc(OC)cc2OC)cc1
2.0,O=C(COc1ccc2cc(F)ccc2c1C(=O)c1ccccc1)NNC(=O)c1ccc(Cl)cc1
2.0,COc1ccc(NC(=[SH+])NCc2ccc(Br)cc2C)cc1
2.0,O=C(CC(=O)Nc1cccc(Cl)c1Cl)Nc1ccc(Cl)cc1Cl
1.0,CC1CCC[C@@H](C)C1NC(=O)COCCOCc1ccccc1
2.0,COc1ccc(NC(=O)COc2cc3ccc(C)cc3cc2C(=O)O)cc1
2.0,CCOc1c(O)cc(/C=N/OCC(=O)Nc2ccc(C)cc2Cl)cc1OC
2.0,O=C(N/N=C/c1ccccc1)c1ccc(O)c(Cl)c1
3.0,CCC(=O)OCc1cccc(OCC(=O)NNC(=O)Nc2ccc(Cl)cc2)c1
2.0,C/C(Cn1nc(Nc2ccccc2Cl)sc1=S)=N\NCc1ccccc1
2.0,O=C(CCCC(=O)Nc1ccccc1Br)Nc1ccccc1
1.0,OCCOc1ccc(CCc2ccccc2)cc1
2.0,CC(CC(=O)Nc1cccc(F)c1)N/N=C/c1cccc(Br)c1
1.0,COC(=O)CCC(=O)N/N=C/c1ccc2c(c1)OCCO2
1.0,C1=C(c2ncccn2)N=C(NCc2ccccc2)[S-]1
1.0,O=C(COc1ccc([S-]C(F)F)cc1)Nc1cccc(Br)c1
3.0,CCCOc1ccc(NC(=O)C(=O)NNC(=O)c2ccc(OC)cc2)cc1
2.0,Cc1sc2nccc(NC(=S)NCCCOc3ccccc3)c2c1C
2.0,CCCCCCCNO
1.0,Cc1nnc(SCc2ccc(NC(=O)c3ccc(Cl)c(Cl)c3)cc2)s1
2.0,O=C(COc1ccccc1CCl)NNC(=O)C1=CC2OCOC2C=C1
1.0,CCCNC(=O)CCCOc1ccc(Br)cc1
2.0,O=C(OCCCNC(=S)Nc1cccc(Cl)c1Cl)c1ccccc1
3.0,CC(NC(=[OH+])Nc1ccc(OCC(=O)O)cc1)c1ccccc1
2.0,COC(C)/C(=N\NC(=O)CSc1n[nH]c(-c2ccccc2)n1)c1ccco1
1.0,COc1ccc(C(=O)OCC(=O)NC(=O)c2ccoc2)cc1Cl
2.0,COC(=O)c1cccc(NC(=O)Cn2[nH]c3ccccc3c2=O)c1
3.0,O=C(COc1ccc(OC(F)F)cc1)NCC[NH2+][P+](=O)(O)c1ccccc1
1.0,O=C([NH2+]/N=C/c1ccc(Br)cc1)c1ccc(COc2ccccc2)cc1
1.0,O=C(Nc1cc(Cl)cc([N+](=O)[O-])c1)c1ccccc1
2.0,O=C(/C=C/c1ccc(Br)cc1)NNC(=O)c1ccc(F)cc1
2.0,OC(CCc1ccccc1Cl)CSc1nc2ccc3ccccc3c2[nH]1
1.0,Cc1ccc(C[NH2+]C(=O)CCCCOc2ccccc2F)cc1
1.0,Cc1cccc(Cl)c1OC(C)C(=O)Nc1ccc(Cl)c(Cl)c1
1.0,O=C1C2CC=CCC2C(=O)N1CCC/N=C/c1cccc(O)c1
2.0,CCc1ccc(C(=O)OCC(=O)NC(=O)Nc2c(C)ccc(C)c2C)cc1
2.0,CCc1ccc(NC(=O)C(=O)Nc2ccc([S+](=O)(=O)CC)cc2)cc1
2.0,Cc1cccc(NC(=O)CNC(=O)CCSCc2ccc(Br)cc2)c1
2.0,Cc1cc(Br)cc(C)c1NC(=O)c1ccc(Cl)c(N)c1
3.0,O=C(NCc1ccc2c(c1)OCCO2)Nc1ccccc1O
2.0,O=C(O)CNc1ccc2c(c1)[S-]C=N2
2.0,CC(=O)COc1ccc(CC(=O)N/N=C/c2cccc(N)c2)cc1
3.0,S=C(NNc1ccccc1)Nc1ccc(Cl)cc1
1.0,Cc1ccccc1OCCNC(=O)c1cc2ccc3ccccc3c2oc1=O
2.0,COc1ccc(C(=O)N/N=C/CO)cc1
2.0,NS(=O)(=O)c1ccc(/C=N/NS(=O)(=O)c2ccccc2)cc1
2.0,Cc1ccc(/C=N/NC(=O)CSC2=C(N)Oc3ccccc3O2)cc1
2.0,COc1cccc(C(=O)NCNC(=O)CCc2ccccc2)c1
1.0,O=C(CC/N=C/c1ccnc(-c2ccccc2)c1)Nc1ccccc1
2.0,CCNC(=O)NC(=O)CSc1ccccc1
2.0,COc1ccc(NC(=S)Nc2ccc(F)cc2)cc1
2.0,O=C(C[NH2+]S(=O)(=O)c1ccc(Br)cc1)N/C=C/c1ccccc1
2.0,Cc1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(F)c(Cl)c3)cc2)cc1
2.0,O=C(NC(=[S-])NCCc1ccccc1)c1ccc(C(F)(F)F)cc1
2.0,CCCCCNC(=[SH+])N/N=C/c1ccc(OC(C)C)cc1
2.0,O=C(/C=C/c1ccccc1)NC(=S)[NH2+]/N=C/c1ccc([N+](=O)[O-])cc1
2.0,O=C(COc1cc(Cl)ccc1O)Nc1ccc(Br)cc1
2.0,O=C(Cc1ccccc1)NC(=O)Nc1c(F)cccc1F
2.0,CCOC(=O)c1cccc(NC(=S)NC(=O)Cc2ccccc2Br)c1
1.0,O=C(Nc1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1F
2.0,Cc1cc(Cl)cc(C(=O)NNC(=O)COc2ccc(Br)cc2)c1
2.0,CCCCCCC(=O)NC(=[SH+])NC(=O)c1ccc(F)cc1
3.0,Cc1cc(C)c(NNCc2ccc(F)cc2)c(O)c1Cl
2.0,Cc1ccc(NC(=O)C[NH2+]/N=C/c2ccc3c(c2)OCO3)cc1
1.0,CCOc1ccc(C(=O)Nc2ccccc2C)cc1OC
2.0,O=C(Nc1ccccc1)c1nc2ccc(Br)cc2[nH]1
1.0,COc1cc(C)ccc1C(=O)OCC(=O)NC(C)c1ccccc1
1.0,CCCCOc1ccc(NC(=O)COc2ccc(Cl)c(Cl)c2)cc1
1.0,CCc1ccc(NC(=O)CCCOc2ccc([N+](=O)[O-])cc2)cc1
3.0,CNS(=O)(=O)c1ccc(NC(=O)C(=O)Nc2ccc(OC)cc2C)cc1
3.0,CSc1ccc(C(=O)NNc2ccccc2C(=O)O)cc1
2.0,O=C(C[S-]c1ccccc1)NC(=[SH+])N/N=C/c1ccccc1
2.0,O=C(CSc1nnc(-c2ccc[nH]2)o1)N/N=C/c1ccc(F)cc1
3.0,Cc1ccc(C(=O)NC(=O)NNC(=O)C#N)cc1
2.0,COc1ccc(NC(=O)C(=O)NCc2ccccc2OC)cc1
1.0,CCOc1ccc(/C=C/C(=O)N/N=C/c2ccc(OC)cc2)cc1
2.0,Cc1ccc(NC(=O)CCC(=O)Nc2ccc(OC(F)(F)F)cc2)c(C)c1
3.0,O=C(CCc1ccccc1)NNC(=S)Nc1ccc(-c2ccco2)cc1
2.0,Cc1ccc(NC(=O)C(=O)Nc2ccc(Cl)cc2)cc1Br
2.0,O=C(Nc1ccc(Cl)cc1)c1ccc(C(=O)Nc2nccs2)cc1
2.0,COc1ccc(NC(=O)CSc2cn[nH]n2)c(Cl)c1
2.0,O=C(NCCCSc1nncs1)C1CCCON1
2.0,COc1ccc(/C=N/NC(=O)Cc2nc(NCc3ccccc3)no2)cc1
1.0,COc1cc(OCc2ccccc2F)ccc1/C=C/C(=O)Nc1ccc(Cl)cc1
2.0,Cc1ccc(-c2ccc(B(N)N)cc2)cc1C
2.0,COc1ccc(/C=C/C(=O)Nc2cccc(Cl)c2)cc1C(=O)O
2.0,O=C(COc1ccc(Br)cc1)NNC(=O)c1ccc2c(c1)OCCO2
2.0,O=C(COc1ccccc1)NNC(=O)COc1ccccc1
1.0,Cc1ccc(NC(=O)CSc2nnc(-c3ccccc3)o2)cc1
2.0,O=C(CSCc1ccccc1)NNS(=O)(=O)C1CCCCC1
1.0,O=C(N/N=C/c1ccc(-c2ccccc2)cc1)c1ccccc1
1.0,O=C(COc1cccc(Cl)c1)[NH+]/N=C/c1ccc(Br)cc1
2.0,O=C(COc1ccc(Br)c(Cl)c1)NNC(=O)c1ccc(Br)cc1
1.0,Cc1ccccc1NC(=O)CCc1ccccc1
2.0,O=c1oc2ccccc2cc1NC(=S)NCc1ccc2c(c1)OCO2
3.0,O=C(Nc1ccc(C(=O)O)cc1)C(=O)Nc1nc2ccccc2o1
2.0,CCc1cc(C)cc(Br)c1OCC(=O)NC(=O)c1ccccc1O
2.0,COc1ccc(/C=N/NC(=O)c2cc(O)c3c(c2)OCCO3)cc1
2.0,CCC(C)CNc1ccc(C(=O)Nc2ccc(OC)cc2)cc1
2.0,S=C(NCCCc1ccccc1)Nc1ccc(Br)cc1
2.0,CN(C)c1ccc([NH2+]CC(=O)N/N=C/c2ccccc2)cc1
2.0,S=C(NCCc1ccccc1)NCc1cccc(Cl)c1
2.0,CCc1ccc(C(=O)Nc2cc(O)c(OC)c(OC)c2)cc1
2.0,COc1ccc(C(=O)N/N=C/c2ccc3[nH]c(C)nc3c2)cc1
2.0,NC(=O)CCCc1nnc(SCC(=O)Nc2cccc(F)c2)s1
1.0,O=C(COC(=O)c1ccc(Br)cc1)NCCC1=CCCC1
3.0,[NH3+]C(F)(F)c1ccc2nc(NC(=[SH+])NCc3ccc(Cl)cc3Cl)sc2c1
1.0,COc1ccc(CCc2n[nH]c(-c3ccc(Br)cc3)n2)cc1
1.0,CCc1ccc(-c2cn(NC(=O)C3CCCCC3)nn2)cc1
1.0,O=Cc1ccsc1NC(=O)COC(=O)CCc1ccc(Cl)cc1
1.0,C[C@@H]1OC(NCCOc2ccc(Br)cc2)=Nc2ccccc21
2.0,CCNC(=O)CNC(=O)CSc1nnc(-c2ccccc2)o1
2.0,O=C(Cc1ccccc1)NC(=O)C1CCN(c2ccccc2Cl)CN1
2.0,CCc1ccc(CC(=O)NNC(=O)COc2ccc(C)c(Cl)c2)cc1
2.0,OCC(NCc1ccccc1)c1cccc(Oc2ccccc2)c1
3.0,CCN(CC)C(=O)CCC(=O)NC(=O)c1cccc2c1NC(C)NC2=O
3.0,O=C(COc1ccc(F)cc1)NC(=S)Nc1ccc(O)cc1
2.0,O=C(CSCC(=O)Nc1ccc2c(c1)OCCO2)Nc1ccc(Br)cc1
1.0,O=C(CCc1ccc2c(c1)OCO2)NCc1nc2ccccc2o1
2.0,Cc1cccc(C)c1NC(=O)C[S-]c1nc2cc(Cl)ccc2[nH]1
2.0,COC(=O)c1ccc(OCC(=O)NNC(=O)c2cccc(F)c2)cc1
2.0,COc1ccc(C(=O)NNC(=O)c2cccc(OC)c2)cc1
2.0,O=C(CSc1nnc(C(=O)Nc2ccccc2)s1)Nc1cccs1
2.0,O=C(CCNC(=O)C1=CC=C2C=CCC=C2C1)Nc1ccc(F)cc1
1.0,O=C(Nc1nc2c(s1)CCCCC2)c1ccc(Cl)cc1Cl
2.0,COc1ccc(NC(=O)CNc2ccc(C#N)cc2C)cc1
2.0,CNS(=O)(=O)c1cccc(/C=C/CCC(=O)O)c1
3.0,O=C(Cc1ccccc1)NNC(=S)Nc1ccc(Br)cc1
2.0,Cc1ccc(NC(=O)CCNC(=O)c2ccc3ccccc3c2)cc1
1.0,CCCCOc1ccc(NC(=O)c2ccc(F)cc2)cc1Cl
1.0,COc1ccc2nc(C(=O)c3ccc(NC(=O)c4ccccc4)cc3)ccc2c1
