HBD,SMILES
2.0,O=C(COC(=O)c1cccc(Cl)c1O)Nc1ccc(Cl)c(Cl)c1
2.0,Cc1cc(C)cc(/C=N/NC(=S)NCc2cccc(F)c2)c1
1.0,Cc1ccc(OCC(=O)Nc2ccc(C=O)cc2)cc1
2.0,CC(C)CCCOc1ccc(-n2c(=O)[nH]c(=O)[nH]c2=S)cc1
2.0,COC(=O)C(CCl)NC(=S)NC(=O)Cc1ccc(C)cc1
2.0,CC(CO)C(=O)N/N=C/c1ccc(C(F)(F)F)cc1
2.0,COc1ccc(NC(=S)N/N=C/c2cccc(Br)c2)cc1
1.0,CC(CCC(=O)Nc1ccccc1)OC(=O)c1cccc(C(=O)[O-])c1
2.0,O=C(CCCC(=O)Nc1ccccc1Br)Nc1ccccc1
1.0,COc1ccc(CNC(=O)c2ccc(S(=O)(=O)c3ccccc3)cc2)cc1
2.0,S=C(NCCc1ccccc1)Nc1ncnc2c3c(sc12)CCCC3
3.0,Cc1ccc(NC(=S)NNc2ccc(C#N)cc2)cc1
2.0,COc1ccc(/C=N/NC(=O)CCCCCCO)cc1
2.0,Cc1ccc(NC(=[SH+])NC(=O)COc2ccc(Br)cc2)cc1
3.0,CC(/N=C/c1ccc(Cl)cc1O)C(O)CO
2.0,OCC(NCc1ccccc1)c1cccc(Oc2ccccc2)c1
2.0,O=c1[nH]c2ccccc2c2c1Cc1cc(O)ccc1O2
2.0,COc1cc(C)ccc1OCC(=O)NCCC(=O)Nc1ccccc1F
2.0,O=C(CO/N=C/c1ccc(Cl)cc1)NC(=O)Nc1ccc(Cl)cc1
2.0,O=C(CNCc1ccccc1)Nc1ccc2c(c1)oc1ccccc12
2.0,CC([SH2]CC(=O)NC12CC3CC4CC(C3)(C1C)C42)C(=O)Nc1ccc2c(c1)OCO2
1.0,O=C(COc1ccc(Br)cc1)NCCCc1ccc(Br)s1
2.0,O=C(C[C@@H]1Oc2ccccc2NC1=O)NCCCOc1cccc([N+](=O)[O-])c1
3.0,O=C(/C=C/c1ccccc1)NNC(=S)Nc1ccc(Cl)cc1
1.0,CCCCCOCC(=O)Nc1ccc(C#N)cc1
2.0,NC(=O)c1c(SCC(=O)NCCc2ccccc2)sc2c1CCCC2
3.0,COc1cc(C)ccc1NC(=S)NNC(=O)c1ccccc1Cl
2.0,Cc1ccccc1C(=O)OCC(=O)NC(=O)Nc1ccc(Cl)c(Cl)c1
3.0,O=C(ONNC(=S)Nc1ccccc1)c1ccc(Cl)cc1
2.0,O=C(O)COc1ccc(/C=N/OCC(=O)Nc2ccc(Cl)cc2Cl)cc1
2.0,O=C(O)CCC(=O)C(=O)N/N=C/c1ccc(Cl)cc1
3.0,C[C@@H](NC(=O)CSCC(=O)Nc1ccc2c(c1)CCCC2)C(=O)O
3.0,O=C(NNC(=S)NCc1ccncc1)c1ccc2c(c1)OCO2
2.0,CC(C)CCCCCCNC(=S)NC(=O)c1cccc(F)c1
2.0,Cc1ccc(C)c(NC(=O)c2ccc(C(=O)Nc3ccccc3F)cc2)c1
2.0,Cc1cccc(OCC(=O)NCC(=O)Nc2cccc3ccccc23)c1
3.0,CC(C)CCNC(=O)CCC(=O)NC(=O)c1cc(S(N)(=O)=O)ccc1Cl
2.0,Cc1ccc(NC(=O)CSc2[nH]c3ccccc3c2Cl)cc1Cl
2.0,O=C(N/N=C/c1ccc(Cl)cc1O)c1ccco1
2.0,COc1ccc(NC(=[SH+])NCc2ccc(Br)cc2C)cc1
2.0,NC(=O)CCC(=O)Nc1nc2ccccc2s1
2.0,CCCCCCCNc1nn2c(nc3ccccc32)[nH]1
3.0,O=C(O)CCCCNC(=S)Nc1c(Cl)cccc1Br
3.0,C[C@H]1CCCC[C@H]1NC(=O)C(=O)NNC(=O)c1ccc(-c2ccc(Br)cc2)cc1
2.0,Cc1ccc(NC(=O)CCNC(=O)c2cc3cc(F)ccc3o2)cc1Cl
2.0,COCC(CC(O)CNC(=O)c1ccccc1)Oc1ccccc1
2.0,CC(O)CCCCNC(=O)CCCOc1ccc(Cl)cc1
1.0,O=Cc1ccc(OC(O)c2ccccc2)cc1
2.0,COc1ccc(C(=O)NC(=S)N/N=C/c2cc(Cl)ccc2Cl)cc1
3.0,CCNc1ccccc1C(=O)NCCC(=O)Nc1ccc(OC)cc1
