TPSA_label_continuous,SMILES
107.97,CC1COCCN1C1C(=O)C(NC(=O)[C@@H](C)c2ccc(C(=O)Nc3ccc(Cl)c(Cl)c3)cc2)=CC(Cl)=C1O
176.56,Cc1c(Cl)cccc1NC(=O)[C@@H](C)NC(=O)c1ccc(C(=O)NNC(=O)c2cccc(S(N)(=O)=O)c2)cc1
137.4,COc1cc(/C=N/N(C(=O)C(=O)Nc2cc(C)ccc2Cl)C(=O)[C@@H](C)O)ccc1C(=O)Nc1ccccc1C
152.51999999999998,CCOc1ccccc1S(=O)(=O)NC(=O)c1nnc(-c2ccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)cc2)o1
182.0,CCOc1c(Oc2ccccc2C(=O)OC)cc(C(=O)[NH+]2C(=O)C(=O)Nc3cc(NC(C)=O)ccc32)c(O)c1O
118.59,O=C(COC(=O)c1cn2c(=O)c3ccccc3c(=O)n2c2cccc(Cl)c12)NC(O)c1ccccc1
157.21,NC1=C(c2oc3cc(Cl)ccc3c(=O)c2S(=O)(=O)Oc2ccc(O)cc2)C(=O)N(Cc2cccc(Cl)c2)C1=O
153.71,COc1cc([N+](=O)[O-])ccc1C(=O)C(Nc1ccc([N+](=O)[O-])c(Cl)c1)C(=O)Nc1ccc(Cl)cc1Cl
102.73,COc1ccc(C(c2ccc([N+](=O)[O-])cc2)C(Cc2ccccc2)NCC(=O)Nc2ccccc2OC)cc1
128.30999999999997,COc1cccc(C(=O)NC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCC(C)C3)c(OC)c2)c1
174.47999999999996,COc1ccc(S(=O)(=O)NCC(=O)NC[C@@H]2C(=O)CN(S(=O)(=O)c3ccc4c(c3)OCO4)C2=O)cc1
145.10999999999996,COC(=O)[C@H]1CCCC(NC(=O)COC(=O)c2coc(C3CCC(C)CN3S(=O)(=O)c3ccccc3)n2)C1
203.27,COc1ccc(NC(=O)CC(=O)N[C@@H](C(=O)O)C(=O)CNC(=O)c2ccccc2OC)c([N+](=O)[O-])c1
162.24,Cc1nnn(C(=O)c2ccccc2Cl)c1COC(=O)C(C)C(=O)NC(=O)C(=O)Nc1cccnc1
102.01,CCOC(=O)c1ccc(C(=O)NN(C(=O)c2ccc(C)cc2)C(=O)c2ccccc2-c2ccc(OC)cc2)cc1
104.37,O=C(Nc1ccc(S(=O)(=O)NCc2ccc(Cl)cc2Cl)cc1)C(=O)c1ccc(Cl)cc1NC(F)F
156.21,Cc1oc(C)c(NC(=O)COc2cc([N+](=O)[O-])cc3c2Oc2ccc([N+](=O)[O-])cc2O3)c1Cl
166.36,CNC(=O)COC(=O)COC(=O)C1=C(N)C(=O)N(c2ccccc2OC)C1C(=O)Nc1ccc(Cl)cc1
142.24,O=[N+]([O-])c1ccc(S(O)(O)c2ccc(CNS(=O)(=O)N3CCOc4ccc(Cl)cc43)cc2)cc1
173.69,NC1=C(C2=C(N)C(=O)N(c3ccc([N+](=O)[O-])cc3)C(=O)C2)C(c2ccc(F)cc2)C(=O)C(Nc2ccccc2)N1
157.28000000000003,CCc1ccc(Br)cc1C(=O)NCC(=O)c1noc(SCC(=O)Nc2cc(C(N)=O)ccc2C)n1
151.19000000000003,CN1C(=O)N2c3ccccc3C(=O)NC2c2cc(C(=O)OCC(=O)Nc3ccc([N+](=O)[O-])cc3)ccc21
147.78,CC(=O)C1CCCN(C(=O)c2ccc(C(=O)NC(=O)Cn3c(=O)c4ccccc4n(O)c3=O)cc2)C1
157.12999999999997,NC(=O)C(=O)Nc1ccc(C(=O)NN(c2ccccc2)S(=O)(=O)c2cccc(C3OCCCO3)c2)cc1
168.49,COc1ccc(NC(=O)CN(C(=O)C(=O)OCc2ccc(O)cc2)c2ccc(O)c(C(N)=O)c2)cc1
112.08,COC(=O)C1=CN(c2cccc(C)c2)N(C(=O)c2cc(Cl)ccc2N)N=C1C1=CCC(c2ccccc2)CC1=N
119.77,COc1ccc2c(c1)N(C)C1=C(O2)C(=O)C2=C([C@H](c3ccc(O)cc3)N(c3cccc(O)c3)C2=O)[C@H]1O
98.74,Cc1ccc(NC(=O)N2c3ccc(NC(=O)c4ccccc4Cl)cc3C(=O)C2(C)c2cc(O)ccc2I)cc1
106.22,Nc1c2c(n(-c3cccc(F)c3)c(=O)c1-c1ccc(Br)cc1)C(=O)NC2CC(=O)Nc1ccccc1Cl
156.96999999999997,Cc1ccc(C(=O)NC(=O)CC(=O)NC(=O)CNC(=O)C2=CC3O[C@@H](C)C(=O)OC3C=C2)cc1Br
152.95999999999998,O=C(CCC(=O)[C@H]1NC(=O)c2ccccc2N1)c1cc(S(=O)(=O)N2C=C([N+](=O)O)C(Cl)=CC2)ccc1Cl
170.84999999999997,COc1ccc2c(c1)C(NC(=O)CCc1nc(-c3cccc([N+](=O)[O-])c3)nc(CCCC=O)c1C(=O)O)CCO2
109.41,O=C(CNC(=O)C1=C(C(=O)c2cccc(Cl)c2)C(=O)c2ccccc2C1=O)CNc1ccc(Cl)cc1
130.04,N#Cc1ccccc1C(=O)NC(c1nnc[nH]1)N1CCN(CC(=O)Nc2ccccc2)CC1
137.39,N#Cc1cccc(NS(=O)(=O)c2ccc(C(=O)NNC(=O)c3ccccc3OC(F)(F)F)cc2)c1
174.24999999999997,CCOC(=O)c1ccc(C(=O)NNC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)c([N+](=O)[O-])c1
150.98,COc1c(Cl)cccc1S(=O)(=O)[C@@H](C)NC(=O)CNC(=O)CCN1C(=O)N[C@](C)(C2CCCCC2)C1=O
167.34,CC(CC(=O)Nc1ccc([N+](=O)[O-])cc1)c1nc2cc(Cl)ccc2n1S(=O)(=O)c1cccc([N+](=O)[O-])c1
143.19,COc1ccccc1NC(=O)C1=CN(C)N=C(C(=O)C(=O)Nc2ccc(C(N)=O)cc2)C1c1ccc(Cl)cc1
167.34,Cc1cccc(C(=O)NC(=O)c2cc([N+](=O)[O-])ccc2-n2cnc3cc([N+](=O)[O-])ccc3c2=O)c1
189.71,COc1cc(C#N)ccc1NC(=O)COC(=O)C(=O)NCCNC(=O)c1ccccc1C(N)=O
150.51999999999998,CNC(=O)NC(C(=O)Oc1ccc(C)cc1)C(=O)c1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2OC)cc1
195.07,CNC1N[C@@H](C(=O)NS(=O)(=O)c2ccccc2)C(C(=O)OCC(=O)Nc2ccc(OC)c([N+](=O)[O-])c2)=C1C
136.63,O=C(NNC(=O)c1ccc(C(=O)NNC(=O)c2ccccc2Cl)cc1O)c1ccc(F)c(Cl)c1
192.72,Nc1ccc([C@H](CC(=O)Sc2nnon2)OC(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)c(S(=O)C=O)c1
174.3,O=C1CN(C(=O)NNC(=O)c2ccccc2[N+](=O)[O-])CCN(C(=O)N(Cc2ccccc2)C(=O)Nc2ccccc2)C1
153.94000000000003,O=C(NC(=O)c1cccc(S(=O)(=O)c2ccc3c(c2)OCO3)c1)Nc1ccc([N+](=O)[O-])cc1
125.22000000000004,Cc1ccc(C(=O)N2CCC(N3CCC(C)CC3)=NC2)cc1S(=O)(=O)Nc1cccc([N+](=O)[O-])c1
127.87,Cc1ccc(C(=O)OC(=O)c2ccc(NC(=O)COC(=O)CC(=O)Nc3cccc(Cl)c3)cc2)cc1C
180.39,Cc1ccc(O)c([C@@H](C(=O)[O-])c2n[nH]c(-c3ccc(NC(=O)COc4ccccc4C(=O)[O-])cc3)n2)c1
104.97,COc1cccc(C2C(=O)N(C3CCN(c4cccc(C)c4)CC3)C(N)=C2C(=O)Nc2ccc(C(C)=O)cc2)c1
133.70000000000002,COC(=O)COC1NC2=C(C=C1OC)C(=O)[NH+](c1ccc(Cl)cc1C(=O)c1ccc(OC)cc1)NC2=O
189.55,COc1cc(C(=O)NC(=O)c2cccc(NC(=O)CNS(=O)(=O)c3ccc(N)cc3)c2)c(=O)[nH]c1C
111.13,COc1cccc(NC(=O)C(O)C2=C(O)N(c3ccc(Cl)cc3)C(=O)C2NCCc2ccccc2)c1
147.51000000000002,O=C(CCNC(=O)c1cccc(C(=O)NC(=O)c2cccc([N+](=O)[O-])c2)c1)Nc1ccc(Cl)cc1
125.9,COc1cccc(C(=O)C2=C(C(O)c3ccncc3)C(=O)N(c3cccc(C(=O)NC4CCCC4)c3)C2=O)c1
145.23,N#Cc1ccccc1C(=O)NC(=O)c1cccc(NC(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)c1
183.72,N#C[C@@H]1CN(C(=O)C(=O)c2ccc(NC(=O)CCC(=O)Nc3ccccc3F)cc2NC(N)=O)CCO1
200.72,COc1cc(On2c(=O)c(NC(=O)c3cc(NC(=O)O)cc([N+](=O)[O-])c3)cc3ccc(OC)c(OC)c32)ccc1O
160.37,CN(C)S(=O)(=O)c1ccc(NC(=O)C[NH2+]S(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1
179.40999999999997,CC1CCCN(S(=O)(=O)c2ccc(NC(=O)CNS(=O)(=O)c3cccc(C(=O)O)c3)c(OO)c2)C1
149.02,CCO/C(=C/C(=O)NC(=O)c1ccc(S(O)(O)NC(=O)Nc2cc(C)ccc2C)cc1)Nc1ccccc1
127.41,O=C(Nc1cc([N+](=O)[O-])ccc1Cl)c1cc(Cl)c(Nc2ccccc2Br)cc1[N+](=O)[O-]
177.89,Cc1ccccc1NC(=O)CCC(=O)Nn1c(=O)c2nc(C(N)=O)c(O)c(=O)n2c2cc(Cl)ccc21
191.99,CCc1ccc(NC(=O)COC(=O)[C@H](C)NC(=O)c2cc(C(=O)NN)ccc2[N+](=O)[O-])c(OC)c1
153.25,COC(=O)c1ccc(C2=C(O)C(=O)C(c3ccc(OC)cc3OC)c3[nH]c4c(c32)C(Oc2ccccc2)C(=O)NC4=O)cc1
161.38,COc1ccc2c(c1)C(=O)C1=C(O)OC(c3ccc([N+](=O)[O-])cc3OC)=C(C#N)C1C2c1ccc(OC)c(O)c1
147.95000000000002,COC(=O)C1=CCN(C(=O)c2ccc(C(=O)NCC(=O)CNc3ccccc3[N+](=O)[O-])cc2)C=C1
159.9,O=C(COC(=O)c1ccc([N+](=O)[O-])cc1)NN[C@H](O)C(=O)Nc1ccc(Br)cc1Cl
147.9,CC1CCN(S(=O)(=O)c2ccc(C(=O)NNC(=O)COc3ccc(Br)cc3C(N)=O)cc2)CC1
195.87,CC(=O)c1ccccc1NC(=O)CC(=O)C(=O)NC(=O)c1ccc(S(=O)(=O)C2CCOCC2)cc1C(N)=O
147.95000000000002,COC(=O)c1ccccc1CN1C(=O)c2ccc(NC(=O)CNc3ccc(Cl)cc3[N+](=O)[O-])cc2C1=O
134.59,CNC(=O)c1ccc(C(=O)OCC(=O)NP(=O)(Oc2ccc(Cl)cc2)c2ccc(C#N)cc2)cc1
107.53,Cc1ccc(NC(=O)CSCC(=O)NCc2ccccc2)c(O)c1NC(=O)c1ccccc1
164.79000000000002,O=C(CCC(=O)NN(C(=O)c1ccc(Cl)cc1)c1ccc([N+](=O)[O-])cc1)Nc1ccc([N+](=O)[O-])cc1
181.96,COC(=O)c1ccc(C(=O)/C(C(=O)Nc2ccc(S(N)(=O)=O)cc2)=C(/C)C(=O)Nc2ccc(C(C)O)cc2)cc1
166.2,COC(Cl)C(=O)COc1ccccc1C(=O)NC(=O)COC(=O)c1cccc(NC(=O)NC(C)=O)c1
140.51999999999998,Nc1c(O)c(/C(=N\c2ccccc2)N(Cc2ccc([N+](=O)[O-])cc2)C(=O)c2ccccc2Cl)cc2c1OCO2
