TPSA_label_continuous,SMILES
78.43,Cc1ccc(C(=O)Nc2ccc(NC(=O)c3cc(Cl)ccc3O)cc2)cc1Cl
68.02000000000001,CC(C(=O)Nc1cc(Cl)c(Cl)cc1Cl)c1nc(-c2ccc(Cl)cc2)no1
48.150000000000006,COc1cc(CSc2nnc(-c3ccccc3)o2)cc(Cl)c1Cl
58.85,CCCC[NH2+]NC(=O)c1cccc(/C=C/c2ccco2)c1
47.02000000000001,CN(C(=O)CN1CCN(c2ccc(O)cc2)CC1)c1ccc(Cl)c(Cl)c1
73.86000000000001,Cc1cc(C(=O)OCC(=O)Nc2ccc(Br)cc2)cc2c1OCO2
76.35,Cc1nc(/C=N/NS(=O)(=O)c2ccc(Cl)cc2)c(C)n1Cc1ccccc1
46.17,Cc1cc(NC(=O)c2ccc(C=O)cc2)ccc1Br
55.4,Cc1ccc(Cl)cc1NC(=O)COC(=O)Cc1ccc2c(c1)CCCC2
76.66000000000001,O=C(NC1Cc2ccccc2NC1=O)c1ccc2c(c1)OCO2
73.86,COc1ccccc1NC(=O)COC(=O)CCCOc1ccc(Br)cc1Cl
55.43000000000001,CN(C)CCn1c(-c2ccccc2)nc2c(=O)n3c(nc4ccccc43)sc21
52.60000000000001,O=C(COC(=O)c1cccc(OC(F)F)c1)c1ccc(Cl)c(Cl)c1
64.11000000000001,CC(C)c1ccc(OCc2nnc(NC(=O)c3ccccc3)s2)cc1
55.400000000000006,CCc1ccc(-c2ccc(CNC(=O)CCCC(=O)OC)cc2)cc1
67.77000000000001,O=C(CSc1nnc(Cc2cccc(Cl)c2)s1)NCc1nc2ccccc2s1
56.790000000000006,COc1ccc(NC(=O)COc2ccc(-c3ccccc3)cc2OC)cc1
56.790000000000006,O=C(c1cccc(Nc2ccc3c(c2)OCCO3)c1)C1CCO1
47.56,Cc1ccc(NC(=O)COc2ccc(OC(F)F)cc2Br)c(C)c1
51.22,O=C(COc1cc2ccc(F)cc2cn1)Nc1ccc2c(c1)CCC2
47.56,COc1ccc(OCC(=O)Nc2ccc(C(F)(F)F)cc2Cl)cc1
