Before_opt_smiles,After_opt_smiles
CC(Oc1ccc2c(-c3ccccc3)cc(=O)oc2c1)C(=O)NCCCn1ccnc1,Fc1ccc(OCCc2c[nH]c3ccc(Cc4ccccc4)cc23)cc1
CC(C)(C)c1ccc(-c2nnc(SCC(=O)NC3CCS(=O)(=O)C3)n2-c2ccccc2)cc1,CC(C)(C)c1ccc(-c2nnc(SCCOCc3ccccc3F)n2-c2ccccc2)cc1
CC1C(CSCCO)OC(c2ccc(NC(=O)c3ccccc3)cc2)OC1c1ccc(CO)cc1,CC1OC(c2ccc(CO)cc2)[C@@H](C)[C@@H](CCCCO)O1
CC1(C)C(=O)Nc2ccccc2N1C(=O)CN1c2cccc3cccc(c23)S1(=O)=O,CCCC/C=C/N1c2cccc3cccc(c23)S1(=O)=O
CC(Oc1ccc2c(=O)c(Oc3ccc(C(C)(C)C)cc3)c(C(F)(F)F)oc2c1)C(=O)O,CCCCC/N=c1\c(Cl)c(C(F)(F)F)sc2cc(OC(C)C(=O)O)ccc12
CC(C)(C)c1cc(C(=O)NN=Cc2cc3c(cc2Cl)OCO3)n[nH]1,Clc1cc2c(cc1/C=N/CCN1CCN3CCCC3C1)OCO2
Cc1ccc(S(=O)(=O)N(CC(=O)NN=Cc2ccncc2)Cc2ccc(Cl)cc2Cl)cc1,CCCCCCCCN(Cc1ccc(Cl)cc1Cl)S(=O)(=O)c1ccc(C)cc1
CC1CCc2c(sc(NC(=O)C(C)N3C(=O)c4ccccc4C3=O)c2C#N)C1,CC(C(=O)[SH2]CCc1ccc(F)cc1)N1C(=O)c2ccccc2C1=O
O=C(COc1ccccc1C=NNC(=O)c1cccnc1Cl)Nc1ccc(F)cc1,O=C(N/N=C/c1ccccc1Cl)c1cccnc1Cl
Cc1cc(Cl)cc(C)c1Nc1cc(N)nc(Nc2ccc(C#N)cc2)n1,CCSc1nc2nc(Cc3ccc(C#N)cc3)nc(N)c2s1
CC(C)CCC1(C)NC(=O)N(CC(=O)N(C)CC(=O)Nc2ccccc2Cl)C1=O,CN(CC(=O)Nc1ccccc1Cl)C(=O)Cc1cccs1
O=C([O-])CCCCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],CCCCCCCNc1ccc(C(F)(F)F)cc1C(=O)O
COc1cc(Cl)c(C2C(C#N)=C(N)Oc3cc(O)ccc32)cc1OC,N#CC1=C(N)Oc2cc(O)ccc2C1C1=Cc2ccccc2[S-]1
Cc1ccc2nc(NC(N)=NC(=S)Nc3ccc(C)c(Cl)c3)nc(C)c2c1,Cc1ccc(NC(=S)/N=C(\N)OCCc2cccc(F)c2)cc1Cl
CC(C)CNC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)c1ccccc1,C=C(CCc1ccccc1)c1ccccc1NC(=O)c1ccccc1
CC(C)(C)c1ccc(C(=O)Nc2ccc(C(=O)Nc3ccccc3C(=O)O)cc2)cc1,O=C(Nc1ccccc1C(=O)O)c1ccc(CCCCc2ccccc2)cc1
O=[N+]([O-])C(C=NOCc1ccccc1)S(=O)(=O)c1ccccc1,O=[N+]([O-])[C@@H](CCSCc1ccccc1)S(=O)(=O)c1ccccc1
Cc1ccc(C=CC(=O)NC(=S)Nc2ccc(S(=O)(=O)N(C)Cc3ccccc3)cc2)o1,CCCCCCCCOc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1
COc1cccc2cc(C(=O)Nc3c(C)n[nH]c3C)c(=O)oc12,COc1cccc2c1CC(=O)C(/C=C/c1ccccc1)=C2
COc1cc(C2NC(=O)c3oc4cc(C)c(Cl)cc4c(=O)c32)ccc1O,Cc1cc2oc3c(c(=O)c2cc1Cl)[C@H]([C@H](C)Cc1ccccc1)NC3=O
O=C(Nc1ccc(Br)cc1)c1nc[nH]c1C(=O)Nc1ccc(Br)cc1,O=C(Nc1ccc(Br)cc1)c1ocnc1C#Cc1ccccc1
COc1ccccc1NC(=O)c1sc2nc(-c3ccco3)ccc2c1N,CCCCCCc1sc2nc(-c3cccs3)ccc2c1N
Cc1ccc(-n2nnnc2SCc2ccccc2[N+](=O)[O-])c(C)c1,Cc1ccc(-n2nnnc2[S-]CCc2ccccc2)c(C)c1
CN1CCN(c2cc(N3CCN(c4cccc(Cl)c4)CC3)c3nonc3c2[N+](=O)[O-])CC1,CN1CCC(c2cc(SCc3ccc(C(F)(F)F)cc3)c3nonc3c2[N+](=O)[O-])CC1
COc1cc(C=NNC(=O)c2cccnc2)cc(Br)c1OCC(=O)N(C)C,COc1cc(CNc2ccc(Cl)cc2)cc(Br)c1OCC(=O)N(C)C
O=C(CCN(Cc1ccco1)C(=O)c1cnccn1)NCc1ccc(F)cc1,O=C(c1cccnc1)N1Cc2occc2C(CCCCc2ccccc2)C1
C=CCOC(=O)C1C(=O)CC(C)(O)C(C(=O)OCC=C)C1c1ccc(CC)cc1,C=CCOC(=O)C1C2C(C)CC(CC=C)C(=O)C2C(=O)CC1(C)O
O=C(CC1(CC2=NS(=O)(=O)c3ccccc3N2)CCCC1)NCc1ccccc1Cl,CCC1(CC(=O)NCc2ccccc2Cl)CCCC1
O=[N+]([O-])c1c(Nc2cccc(C(F)(F)F)c2)cc(Cl)c2nonc12,CN(C)CCCCNC1=C([N+](=O)[O-])C2=NClN=C2C(Cl)=C1
CC(=O)c1ccc(N2CCN(C(=O)C(CO)NC(=O)C3(c4ccccc4)CC3)CC2)cc1,O=C(F)[C@@H](CO)NC(=O)C1(c2cccc(C[S-]Cc3ccccc3)c2)CC1
COc1cc2cc(C)c(SCC(=O)Nc3ccc(NC(C)=O)cc3)nc2cc1OC,CCCCCCCCCCC(=O)Oc1ccc(NC(C)=O)cc1
CCOC(=O)C(N)CSC1CC(=O)N(c2ccc(Br)cc2)C1=O,O=C1CC([S-]c2cccc(F)c2)C(=O)N1c1ccc(Br)cc1
COc1ccccc1N(C(=O)Cn1nnc2ccccc21)C(C(=O)NCC1CCCO1)c1ccc(F)cc1,CCCCCCCN(C(=O)Cn1nnc2ccccc21)c1ccccc1OC
