Before_opt_smiles,After_opt_smiles,Before_opt_act_score,After_opt_act_score
Cc1cc(C)cc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,C/C(=[NH+]\c1ccc(NC(=O)Nc2cc(C)cc(C)c2)cc1)c1ccc2c(=O)[nH][nH]c2c1,7.162288e-06,0.014737842
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NCc1n[nH]c2ccccc12,1.5042119e-06,0.10318021
O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1ccc(Cl)cc1,CC(N)(CNc1cnc2[nH]cc(-c3ccccc3)c2c1)c1ccc2nc[nH]c2c1,4.735552e-05,0.9991498
Cn1c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)nc2ccccc21,Cn1c(-c2ccnc(NS(=O)(=O)c3ccc4cc5sccc5cc4c3)n2)nc2ccccc21,0.002699362,0.9388079
CC(C)=CCc1cc(C(=O)/C=C/c2cccc(O)c2)c(O)cc1O,CC(C)=CCc1cc(CC2=NC(c3ccnc4[nH]nc(C)c34)=CC2)c(O)cc1O,0.000145475,0.029922493
CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CC(NNc1cc(Cl)ccc1O[C@@H](C)CN(C)C)C(N)Cc1c[nH]c2cc(F)ccc12,0.000309913,0.9677665
Cc1n[nH]c2sc(C(=O)NCc3ccccc3)cc12,O=C(NCc1ccccc1)C1CC2c3ccnc4cccc(c34)C2CN1,1.1099506e-05,0.21145146
COc1cc(C=C2SC(=S)NC2=O)ccc1O,COc1cc(/C=N/C(N)C(O)c2ccccc2N)ccc1O,3.367341e-10,0.20874475
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)c([N+](=O)[O-])c1,N/C(=C\c1ccc2c(c1)[nH]c1ccccc12)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0.1363091,0.99444807
CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CN(C)CCc4cn[nH]c4)cc3)nc2n1,CSc1ncc2cc(-c3ccccc3)c([C@H]3CCN(c4ncnc5[nH]ccc45)CCN3)nc2n1,0.004216986,0.9990472
C=Cc1c(C)nc2cc(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nn12,C=Cc1c(C)nc2cc(-c3ccccc3)c(NCC3COc4ccccc4N3)nn12,0.020640012,0.108151466
CCNNc1cc(C)c(C#N)c2nc3ccccc3n12,Cc1cc(NN2CCC3ONCC32)n2c(nc3ccccc32)c1C#N,0.001621884,0.6975694
O=C(NN=Cc1ccc(O)cc1O)Nc1cccc2nsnc12,O=C(NCC1Cc2c(sc3cnc4[nH]ccc4c23)CN1)Nc1cccc2nsnc12,8.596208000000001e-06,0.9973629
O=C(/C=C/c1nc2ccccc2[nH]1)c1c(O)nc2ccc(Cl)cc2c1-c1ccccc1,Nc1nc2ccc(Cl)cc2c(-c2ccccc2)c1NC1=CC=C(c2n[nH]c3[nH]ncc23)C=[N+]1,2.4422782e-06,0.08552032
NC(=O)c1ccc(NCCc2cccc(F)c2)c2cncnc12,NC(=O)c1ccc(NCC2COc3ccc4[nH]cc(Br)c4c3C2)c2cncnc12,0.000959399,0.91323173
CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1,Cc1csc2ccc(C(N)Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)cc12,4.5891056e-07,0.017387899
NC(=O)c1ccc(NCCCCc2ccccc2)c2cncnc12,NC(=O)c1ccc(NCc2cncc(-c3ccc4[nH]ncc4c3)c2)c2cncnc12,0.000323517,0.9481051
Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,O=C(Nc1cccc(F)c1)Nc1ccc2c(-c3ccc4cn5cnnc5cc4c3)c[nH]c2c1,4.79295e-06,0.075141534
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,Cc1ccc2c3c(cccc13)OC(CC(N)[NH2+]C(=O)c1ccc(-c3ccc(Cl)cc3)o1)=C2,4.302336e-06,0.98253137
Fc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)c(F)c1,NC(Cc1ccccc1F)c1nnc2n1-c1cccnc1Nc1ccccc1-2,0.000459907,0.86486095
O=C(Nc1ccc(-c2cccc3sncc23)cc1)Nc1ccc(F)c(C(F)(F)F)c1,Fc1ccc2cc(C3CNN(Nc4ccc(-c5cccc6sncc56)cc4)C3)ccc2n1,1.5690362e-09,0.9977203
Nc1ncnc(Nc2cc(CNC(=O)C(F)(F)F)c(O)c(-c3ccc(Cl)cc3)c2)n1,CC(N)Nc1cc(CNC(=O)C(F)(F)F)c(O)c(-c2ccc(Cl)cc2)c1,9.490085000000001e-08,4.9434148e-05
CC(C)(CO)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)nn12,Nc1ccc(/C=C2/C(c3ccc(F)cc3F)N=C3OC=CN32)cc1C1(N)CCC1,0.001140409,0.9714247
Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)c1,Cc1n[nH]c2cc3[nH]nc(NNc4ccc(-c5cccc6c5CNC6=O)cc4)c3cc12,6.495270699999999e-07,0.48864198
O=C(Nc1cccc(-c2ncnc3sc(-c4ccncc4)cc23)c1)c1cccc(C(F)(F)F)c1,NC(=O)c1cnc2c(c1)C1C(c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)N1N2,3.533296e-05,0.64954567
CCc1ccc(OC(C)=O)c(Cc2cc(CCCl)ccc2OC(C)=O)c1,CC(=O)Oc1ccc(CCCl)cc1Cc1sc(-c2ccon2)cc1Br,5.0135213e-08,3.5071637e-06
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(CC2C=c3c(c4ccccc4n4nccc34)=N2)c1C,4.998806e-06,0.003355585
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,CC1(c2ccc(C(=[NH+])/C(C#N)=C\c3ccc(O)c(O)c3)cc2)CCC1,4.043959e-08,0.027061028
CCC(C)c1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5ccc(F)nc5nc4[nH]3)cc2)CC1,0.006821451,0.9958825
Cc1ccc(O)cc1CCC1C(=O)CCC2(C)C(C(C)/C=C/CC(C)C)CCC12,CC(C)C/C=C/C(C)C1CCC2C(/C=C(\N)c3ccc4ccccc4c3)C(=O)CCC12C,7.780838e-12,5.471629e-05
COc1cc2cnc3c(c2cc1OC)C(=O)NC3=O,COc1cc2c3c(ncc2cc1OO)C(=O)NC3=O,5.804709e-07,2.9292061e-05
COc1cc(Nc2nccc(Nc3cc(C4CCCCC4)no3)n2)cc(OC)c1OC,NC1=Cn2cc(Nc3nccc(Nc4cc(C5CCCCC5)no4)n3)c3cccc(c32)O1,1.0194603e-05,0.4608628
Cc1ccc(CNc2c(Nc3ccncc3)c(=O)c2=O)cc1,Cn1cccc1-c1cnc(NNc2c(Nc3ccncc3)c(=O)c2=O)o1,1.8036205e-07,0.002197461
Cc1cccc(NC(=O)Nc2ccc(-c3cccc(C(N)=O)c3)cc2)c1,NC(=O)c1cccc(-c2ccc(NCc3cn[nH]c3-c3ccc4nn[nH]c4c3)cc2)c1,9.5770725e-09,0.665484
Nc1ccc(-c2ccc3ncc4c(=O)[nH]c(=O)n(-c5cccc(C(F)(F)F)c5)c4c3n2)cn1,Cn1c(=O)[nH]c(=O)c2cnc3ccc(-c4ccc(N)nc4)nc3c21,0.002008312,0.041964322
CC(C)Oc1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2n1,CC(C)Oc1ccn2c(-c3ccccc3)c(-c3ccc4c(c3)[nH]c3ccccc34)nc2n1,0.021507917,0.21463281
CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,Fc1cc(F)c(-c2ncoc2C23NC2N(c2nccc4sccc24)N3)cc1F,2.3069048999999995e-08,0.8056717
COc1ccc(C(=O)Nc2nc3ccc(Cl)cc3s2)c(OC)c1,COc1ccc(C(=O)NC(N)Cc2ccc3ccccc3c2)c(OC)c1,4.962226e-11,0.7804698
NC(=O)c1cccc2c(NCc3ccc4c(c3)OCO4)nccc12,Cc1cc(CC(N)CNc2nccc3c(C(N)=O)cccc23)c2ccccc2c1,4.8783433e-05,0.9970848
CC(=O)c1ccc(N2CCN(C(=O)CN3CCC(C(=O)Nc4ccc(O)c(Cl)c4)C3)CC2)cc1,Cc1c[nH]c2ncnc(N3CCC(N)(CN4CCC(C(=O)Nc5ccc(O)c(Cl)c5)C4)CC3)c12,9.3466144e-07,0.5907692
CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1,CC(N)C1CCC(C(=O)NC(N)Cc2cccc3ccccc23)CC1,0.004131449,0.13016617
c1ccc(-c2n[nH]cc2-c2ccncc2)cc1,C/C(=C\NN)c1n[nH]cc1-c1ccncc1,2.5148916e-05,0.00954399
O=C(O)c1cc(-c2cccs2)n2nccc2n1,O=C(O)c1cc(C2C=CC(F)=C2)n2nccc2n1,5.416872e-05,0.000776266
CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)NCCBr,NC(Cc1ccccc1)C(=O)N1CC(Br)=C(c2ccc[nH]2)C1,1.1203225e-05,0.2716496
COc1ccc(S(=O)(=O)Nc2cccc(-c3ccc4nc(NC(C)=O)sc4c3)c2)cc1,COc1ccc(S(=O)(=O)Nc2cccc(-c3cc(-c4csc5cnc6sccc6c45)cs3)c2)cc1,0.001568679,0.9527727
Fc1ccccc1N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,Fc1ccccc1N1CCN(Cc2ccc3cc4c(ncc5c4ccn4cccc54)nc3c2)CC1,0.09879059,0.78390497
Cc1nc2cc(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nn2c1-c1ccc(F)c(CO)c1,Cc1nc2cc3c(cc(-c4cn[nH]c4)c4ccccc43)nn2c1-c1ccc(F)c(CN)c1,0.044261016,0.73623466
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCNS(C)(=O)=O)cnc(N)c34)cc2)c1,CS(=O)(=O)NCC#Cc1ccc2c3c(csc13)N(S(=O)(=O)c1c[nH]c(-c3ccccc3)c1)N2,2.5263313e-05,0.9828707
NS(=O)(=O)c1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1,c1cc2cc(-c3cc4cn5nccc5cc4o3)c(OC3CCNCC3)cc2cn1,0.000614499,0.91719013
O=C(Cc1ccccc1Cl)Nc1ccc2cn[nH]c2c1,N=C(Nc1ccc2cn[nH]c2c1)C(N)C1=Cc2c[nH]c3nccc1c23,0.000225729,0.9035867
