SMILES,act_score
CN1CCc2c(-c3cn[nH]c3)ccc(-c3ccc(-c4cn[nH]c4)c(F)c3)c2C1,0.85116386
NCCN(Cc1ccccc1)C(=O)c1ccc2c(c1)Cc1conc1O2,0.8648543
COc1cc(C(=O)NC(C)c2cc3ccncc3s2)ccc1-c1cn[nH]c1,0.9999957
NCCN1CCC2C(C1)OCCC2C1CCc2c(sc3ccccc23)C1,0.03738441
Cc1c(-c2cc[nH]c2)sc2cc3c(cc12)CC(c1c[nH]c2nccc(F)c12)C(N)C3,0.9999913
Cn1ccc(-c2cc(CN)c3[nH]c4c(sc5c6ccccc6[nH]c(=O)c45)c(=O)c3c2)c1,0.19147027
NC1c2cc(C3=CC4CNNCC4S3)ccc2-c2cc3c(cc21)CCC3,0.032626778
CC(NC(=O)c1ccc(-c2cn[nH]c2)cc1)C(c1ccccc1)c1ccc2[nH]ncc2c1,0.9999392
c1cc(-c2cc3cc(NC4Cc5ccncc5C4)sc3s2)ccn1,0.9994178
CC1NC(c2ccncc2)NC(CCO)C1C(=O)NCCc1cccs1,0.99987924
NC1NNC2CC(c3ccncc3)=CC3CC4Cc5ccccc5CC4C1C32,0.6793775
Fc1cc(C2Cc3ccccc3C[NH2+]2)cc(C2CCCN2CCc2cccnc2)c1,0.43801272
CS(=O)(=O)Nc1ccc(Nc2cc(Cl)cc3c(-c4cn[nH]c4)csc23)cc1,0.99996376
c1cncc(CC2N=C(c3cc4c(s3)Cc3ccccc3O4)NN2)c1,0.9843588
OC1CC(O)C(c2cc(F)c(-c3cn[nH]c3)cc2F)NC1c1ccccc1,0.9732492
Oc1ccc(CN2CCC(CNC(O)Cc3c[nH]c4cnccc34)CC2)cn1,0.9999546
CNCC(c1ccccc1)N1Cc2cc(-c3ccncn3)cn2C1,0.99944204
CC(N)c1cc2sc3c(c2cc1-c1ccncc1)CNC(c1ccc(F)cc1)C3,0.9969758
C/C(=C\C=C(/C)c1ccc2c(c1)[S-]c1n[nH]c(C)c1-2)c1ccnc(O)c1,0.94692034
NC(=O)N1CCc2c(cc(-c3ccc(O)c(Cc4cn[nH]c4)c3)n2CCN2CCCC2)C1,0.99783
NC1CC2C(=O)c3ccc(-c4cn[nH]c4)cc3OC2CC1c1cccc(O)c1,0.9999908
O=C([O-])c1ccc2c(c1)CC(Nc1ccc3c(c1)CC(=O)c1[nH]ncc1-3)C2,0.046601016
NCCCc1cc(CNCc2cnoc2)cc2c1Oc1ccccc1O2,0.90677506
CC1=C2C(Nc3ccncc3)OC3CC(C)NCC3C2C=C(c2ccncc2)N1,0.999926
C1=C(Cc2ccn[nH]2)[S-]c2cc3c(cc21)oc1cc(-c2cn[nH]c2)ccc13,0.9998919
O=C(CC1CCNC(c2ccncc2)C1)Nc1nc(-c2c[nH]c3ncccc23)cs1,0.9998216
c1csc(CCNCc2cc3c(ccc4cc(-c5cn[nH]c5)ccc43)s2)c1,0.97746325
CC(c1ccccc1)N1CCN(Cc2ccc3cc(-c4cn[nH]c4)sc3n2)CC1,0.9998524
NC1=C(O)Oc2cc(C(=O)N3CCN(c4ccc5[nH]ncc5c4)CC3)ccc2O1,0.16544844
c1cc2c(cn1)OCCC2Nc1cc2c3c(ccnc3c1)-c1nc3n[nH]cc3cc1-2,0.93169755
CC(CO)N1Cc2c([nH]c3cnccc23)CC1c1ccc(-c2cnoc2)cc1,0.9999597
O=C(c1cc2cc(-c3c[nH]c4cnccc34)ccc2s1)N1CCc2ncccc2C1,0.0006513111
Nc1[nH]nc2c1-c1ccc(C(=O)N3CCC(c4cnoc4)CC3)cc1OC2,0.05146903
C1=CC2CC(Nc3c[nH]c4c3ccc3sc(-c5cn[nH]c5)cc34)COC2C=C1,0.094317354
C[C@H]1C(Cc2ccc(Br)cc2)CCc2nc3c4c(sc3c(=O)n21)Oc1cnc(O)cc1C4,0.97469586
N=C(NCC(N)c1ccccc1)Sc1ccc(-c2ccncc2)s1,0.9998704
Clc1nccc2c1CN(Cc1cc3ccc(-c4cn[nH]c4)cc3s1)CC2,0.7954208
OC1Oc2ccc3sc(-c4ccoc4)cc3c2OC1CCC1CCCN1,0.037106887
CC(N)CCc1ccc(CNN)c(C(C)c2cc3cc4cnccc4cc3s2)c1,0.9999598
NC1CC(c2cn[nH]c2)Cc2cc3c4c(sc3cc21)Cc1cnccc1C4,0.9998926
COc1ccc2c(c1)OCC(C1Nc3ccc(-c4cn[nH]c4)cc3C(C)N1)=C2,0.96573925
c1ccc(C2CNC3OCc4cc(-c5cn[nH]c5)ccc4C3N2)cc1,0.9997708
Nc1nonc1C(N)NCc1ccc2c(c1)Cc1cnccc1-2,0.9023521
C1=C2NC(c3ccncc3)C3CNNCC3C2=CC2C=C(c3ccncc3)SN12,0.96474475
CC1CCC2Cc3cc4sc5ncc(-c6cn[nH]c6)cc5c4cc3CC2N1,0.9999764
CC1=C2C(=[SH]c3c(-c4ccncc4)n[nH]c32)Nc2cc(CO)ccc21,0.025711337
N/C(=C\c1cccc2c1[nH]c1c2nnn1Cc1ccncc1)c1cccnc1,0.99901843
Oc1cc2c3c(sc2cc1-c1cn[nH]c1)CCC(c1cn[nH]c1)C3,0.9999702
O=C(c1ccc2c(c1)CC1=C(O2)SNN1)c1ccc(Cc2cccc(O)c2)s1,0.99949574
CC1CC2c3ccc(-c4cn[nH]c4)c4ccn(c34)CC2NC1Cc1cccnc1,0.9999989
CN1CCC2c3cc(C4Cc5ccncc5CN4)ccc3NC(c3ccc4oncc4c3)C2C1,0.9923767
c1ccc(C(c2c[nH]c3nc4sc(-c5cn[nH]c5)cc4cc23)N2CCCC2)cc1,0.87711996
c1ccc2c(c1)C(c1cn[nH]c1)CNC2C1CCC2CC(c3ccncc3)NCC2C1,0.99924004
CC1Cc2c(ccc3[nH]ccc23)CN1Cc1cc(-c2ccncc2)cs1,0.999476
NC1CNCC2CC(c3ccc4nc(-c5cn[nH]c5)sc4c3)NCC12,0.99965334
COc1cc2cc(C(=O)NC(C)c3ccccc3)sc2cc1-c1cn[nH]c1,0.99954504
O=C1NC(c2ccc3[nH]ncc3c2)Sc2sc3cc(-c4ccncc4O)ccc3c21,0.9999027
