Before_opt_smiles,After_opt_smiles,Before_opt_act_score,After_opt_act_score
CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(-c2ccc(OCC(N)=O)cc2)n1,CC(C)(C)c1cc(Nc2cc(-c3c[nH]c4ncccc34)cs2)n(-c2ccc(OCC(N)=O)cc2)n1,9.6692005e-05,0.65065885
O=C(Nc1nc(-c2ccncc2)cs1)Nc1ccccc1Cl,c1cc(Nc2nc(-c3ccncc3)cs2)cc(-c2cn[nH]c2)c1,0.1823636,0.9139099
Cc1c(-c2ccnc(N)n2)sc2ccc(Cl)cc12,Cc1c(C2NC(O)c3ccccc3N2N=NN=NN=NN=NN=NN=NN=NN=NN=N)sc2ccc(Cl)cc12,5.2859807e-05,0.12707946
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,Oc1cnc2scc(Nc3ccc(CN4CCOCC4)cn3)c2c1,0.0029193147,0.19435437
O=C(Nc1ccncc1)c1cnccc1-c1ccc(F)cc1,C[C@H]1c2cnccc2-c2ccc(F)cc2C1C1CC(N)NCN1,0.00015651455,0.94308656
COc1cc(Cn2cnc3sc(-c4ccnc(N)c4)cc3c2=O)cc(OC)c1,CC1Cc2c[nH]nc2CC1Cn1cnc2sc(-c3ccnc(N)c3)cc2c1=O,0.03166286,0.99992347
O=C(CCC(=O)Nc1cc(C(F)(F)F)ccc1Cl)NN=Cc1c[nH]c2ccccc12,O=C(CCc1coc2c3c(ccc12)Oc1cnccc1O3)Nc1cc(C(F)(F)F)ccc1Cl,2.8449922e-05,0.14522411
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,NC(=O)c1sc(Nc2ccc3c(c2)CCC2NNC=C32)cc1OCc1ccccc1C(F)(F)F,0.00046356214,0.9055514
O=C(Nc1nc2c(O)cccc2s1)Nc1ccccc1-c1ccccc1,Oc1cc(-c2cc(Nc3ccccc3-c3ccccc3)n[nH]2)ccc1F,0.010225451,0.5616746
CN1C(=O)C(Cc2ccc(-c3ccnc4[nH]ccc34)cc2)NC(=O)c2cc(Cl)ccc21,Oc1nccc2c1Oc1cc(Cc3ccc(-c4ccnc5[nH]ccc45)cc3)sc1C2,0.0126701689999999,0.9994904
Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)cc1,Cc1ccc(NC(=O)Nc2ccc(-c3cc(-c4cc(N)ns4)c[n-]3)cc2)cc1,0.03770191,0.97965425
Cc1n[nH]c2ccc(-c3cc(OCC(N)Cc4ccccc4)cnc3-c3ccc(O)cc3)cc12,Cc1n[nH]c2ccc(-c3cc(NC(=O)NC4CCOc5ccccc54)cnc3-c3ccc(O)cc3)cc12,0.00055146404,0.96056265
