rotatable,SMILES
12.0,CCCCCCCCCCCCOc1ccccc1
14.0,CCCCCCCCCCCCCCCC(=O)[O-]
12.0,CCCCCCCCCOc1ccc(OCCC)cc1Br
11.0,CCCCCCOc1ccc(OCCCCC)cc1
11.0,CCCCCCCCCCCOc1ccccc1
14.0,CCCCCCCCCCCCCCCCC
11.0,CCCCNCCCCOc1cccc(OCC)c1Cl
11.0,CCCCCCCCCCCCCC
9.0,CCCCCCNCC(=O)Nc1ccc(Cl)cc1OC
14.0,CCCCCCCCCCCCCCCC(C)=O
11.0,CCCCCCCCCCCOc1ccccc1
12.0,CCCCCCCCOc1ccc(OCCCC)cc1
14.0,CCCCCCCOc1c(OC)cc(CCCOc2ccccc2)cc1OC
13.0,CCCCCCCCC(O)CCc1ccc(OC)c(OCC)c1
12.0,CCCCCCCCc1nc(CCCCCC)nn1N
11.0,CCCCCCCCCCCOc1ccc(F)cc1
13.0,CCCCCCCCCCCCCCCO
13.0,CCCCCCCCCCCCCCC(=O)[O-]
12.0,CCCCCCc1cc(OC)c(OCCCc2ccccc2)c(OC)c1
12.0,CCCCCCCCCCCCCCC
10.0,CCC[NH2+]CCCCc1cc(OC)c(OC)c(OC)c1
13.0,CCCCCCNCc1ccc(OCCCCO)c(OC)c1
13.0,CCCCCCCCCCCCCOc1ccccc1
12.0,CCCCCCCCCCCCCC(=O)O
11.0,CCCCCCCCCCCCCC
12.0,CCOc1ccc(OCCCC(=O)NCCc2ccccc2)cc1OCC
12.0,CCCCCCCCCCCCCCC
13.0,CCCCCCCCCCCCCCC(=O)[O-]
11.0,CCCCCCCCCCNCCC
11.0,CCCOCCCCCCNCc1ccccc1
12.0,CCCCCCCCCCCCCCO
13.0,CCCCCCCCCCCCCOc1ccccc1
11.0,CCCCCCCCCCCCCC
12.0,CCCCCC[NH2+]CCCCc1cc(OC)cc(OC)c1
12.0,CC(C)CCCCCCCCCCOc1ccccc1
12.0,CCCCCNC(=S)Nc1ccc(OCCCCC)cc1OCC
13.0,CCCCCCCCCCC[NH2+]CCCC
13.0,CCCCCCCCc1cc(Cl)c(OCCCCO)c(OC)c1
12.0,CCCCCCCOc1ccc(OCCCCC)cc1
10.0,CCCCc1ccc(OCCOc2ccc(OCC)cc2)cc1
12.0,CCCCCCCCCCCCCCO
12.0,CCCCCCCOc1ccc(OCCCC)c(OC)c1
12.0,CCCCCCCCCCCCOc1ccccc1
13.0,CCCCCCCCCCCCOc1ccccc1OC
11.0,CCCCCCOc1ccc(OCCCCC)cc1
12.0,CCCCCCCCCCCCCCC
14.0,CCCOc1ccc(C(=O)CCCCCCCCC=O)c(OC)c1
15.0,CCCCCCCCCCCCC(=O)CCOc1ccccc1
10.0,COc1ccc(OCCCCCCCCO)cc1
15.0,CCCCCCCCCC([NH2+]CCCCC)OCC
12.0,CCCCCCCc1ccc(OCCCCC)c(OC)c1
10.0,CCCCCCCCCCCCC
13.0,CC(C)CCCCCCCCCCCOc1ccccc1
14.0,CCCCCOc1cc(OC)c(OCCCCCCO)cc1OC
10.0,CCCCCCCCCCCCC
13.0,CCOc1ccccc1OCCOCCNCCOc1ccc(Cl)cc1
13.0,CCCCCCCCCNc1ccc(OCC)c(OCC)c1
15.0,CCCCCCCCCCCCCCCCC(C)C
12.0,CCCCCCCCCCOc1ccc(OCC)c(Cl)c1
12.0,CCCCCCCCNc1nnc(-c2ccc(OCC)c(OC)c2)n1C
11.0,CCCCCCCCCCCCCC
13.0,CCCOc1ccc(OCCCCCCCO)cc1OCC
12.0,CCCCCCCCCCCCOc1ccccc1
12.0,CCCCCCCCCCCCCCC
14.0,CCCCCCCCc1cc(OC)c(OCCCCC)c(OC)c1
12.0,C=Cc1cccc(OCCCCCCCCCCC)c1
11.0,CCCCCCCCOc1ccc(OCCC)cc1
