rotatable,SMILES
1.0,C1=C(c2ccc3c(c2)OCO3)CCc2ccccc21
1.0,Clc1ccc2[nH]c3nc(-c4ccccc4)ccc3c2c1
2.0,C=CNc1cc(C)c2c(c1)CC(C)(C)OC2
1.0,C#CC(=O)Nc1nc(C)n[nH]1
1.0,c1ccc(-c2ncn3ncnc3n2)cc1
1.0,BrC1=CC2NC(c3ccccc3)=NN2C=C1
2.0,CC(C)C1=C(c2ccccc2)NC(=O)N2C(=O)C=CNC12
0.0,O=c1c2ccccc2[nH]c2oc3ccccc3c(=O)c12
1.0,CC1C=C2CC(C3=NCCO3)=CC=C2C=C1O
0.0,O=c1c2cc(O)ccc2n2ncc3cc(Br)ccc3n12
1.0,CC1/C=C\C=C\C=C/C(c2ccccn2)=C/C(=N)O1
0.0,Cc1ccc2oc(C#N)c(Br)c2c1
1.0,CC1=C(O)c2c(cc(Cl)c(O)c2Cl)OC1c1ccco1
0.0,C1=C2Oc3c(ccc4c3OCO4)C=C2c2ccccc2C1
1.0,O=C1/C(=C\c2ccccc2)Oc2ccccc21
2.0,Cc1oc(N)cc(=O)c1C(=O)c1ccc2c(c1)OCO2
1.0,CC1CCC(=O)N1C1CCc2ccccc2N1
1.0,Cc1[nH]nc2oc(=O)c(-c3ccc(F)cc3)cc12
2.0,O=C(Nc1cc(Br)on1)c1ccc(Cl)cc1Cl
1.0,OC1=C(c2ccccc2)CCc2ccccc21
0.0,Cc1ccc2cc3c(cc2c1)NCC3(C)Cl
0.0,Cc1ccc2c(=O)c3ccccc3oc2c1Br
0.0,O=c1c2ccccc2oc2c1ccc1cc(O)ccc12
1.0,Clc1ccc2cc(-c3cnon3)ccc2n1
1.0,O=C1Nc2ccccc2C2=NCC(c3ccc(Br)cc3)N12
0.0,Cc1ccc2nc3c(cc2c1)CCc1ccccc1-3
0.0,O=C1CC2=C(CCc3c2oc2ccccc2c3=O)OC1=O
1.0,COc1ccc2c(c1)Oc1cccc3cccc-2c13
0.0,Cc1ccc2c(c1)-c1cnc3ccccc3c1NC2
0.0,C1=C2Cc3ccccc3C=C2Oc2ccccc21
0.0,Cc1cccc2c1C(=O)c1cc3ccccc3cc1-2
0.0,O=c1c2cc(O)ccc2oc2c1cnc1nc[nH]c12
0.0,O=c1[nH]c2ccccc2sc1=O
2.0,COc1ccc(-c2ccc(=O)oc2)cc1
0.0,c1ccc2c(c1)CC1=C(N2)Oc2ccccc2C1
0.0,Cc1cccc2c1c(=O)nc1[nH]c3ccc(F)cc3c(=O)n12
1.0,O=C1C2=CC=C3C=CCC=C3C2C(=O)N1c1cccc(Cl)c1Cl
1.0,Oc1ccc(-c2ccc(Cl)cc2)nc1
1.0,c1ccc(-c2nnc3c4ccccc4[nH]n23)cc1
1.0,O=Nc1cc2cc3c(cc2[nH]1)CCCC3
0.0,Clc1ccc2c(c1)oc1c3ccccc3ccc21
0.0,O=C1/C(=C2\Nc3ccccc3S2)[S-]c2cc(Br)ccc21
1.0,Brc1ccc2oc3cc(-c4ccccc4)ccc3c2c1
1.0,Cc1ccc2c(=O)n(-c3ccc(F)cc3)[nH]c2c1
0.0,c1ccc2c(c1)[nH]c1nc3ncoc3cc12
0.0,Oc1ccc2c(c1)Oc1ccccc1[S-]2
1.0,Cc1ccccc1-n1c(N)nc2ccccc2c1=O
2.0,Cc1cc(NC(=O)c2ccccn2)cc2c1CCCC2
0.0,N#Cc1cc2nc3ccc(O)cc3cc2o1
1.0,CC1CCC2N=C(c3ccc(Cl)cc3F)CC2C1
0.0,O=c1cc2[nH]c3cc4c(cc3c(=O)n2c2ccccc12)OCO4
1.0,Cc1ccc(C=[N+]2CCCCC2)cc1
0.0,O=C1Oc2cc3ccc(O)cc3cc2C2Cc3ccccc3CC12
1.0,COc1ccc2c(=O)n3c(nc2c1)[S-]c1c-3ccc2c1OCO2
0.0,O=c1c2c(oc3ccccc13)-c1cc3c(cc1C2)OCO3
1.0,N#Cc1c(-c2ccccc2O)oc2ccccc2c1=O
1.0,O=C(/N=C1\Nc2cc3ccccc3cc2[S-]1)c1ccccc1Br
1.0,Cc1ccc(-c2ccc(C(F)(F)F)cc2O)cc1
1.0,O=C(/N=C1/N=C2CCCCC2[S-]1)c1ccc(O)cc1
1.0,C(=C1/CCCO1)\c1ccccc1
1.0,O=C1CCN=C1NC(=O)c1ccccc1O
1.0,Oc1ccc2nn(-c3ccccc3)cc2c1
1.0,C1=C(c2ccccc2)Oc2cc[nH+]cc2C1
2.0,O=C(Nc1ccccc1)c1cccc(Br)c1O
0.0,Cc1ccc2c(=O)n3c(nc2c1)sc1cc(F)ccc13
0.0,O=C1c2ccccc2OC2Cc3ccccc3N12
2.0,CCN(C)c1ccc2c(c1)-c1ccc(Cl)cc1C2=O
2.0,O=C(c1cccc(F)c1)c1n[nH]c2ccccc12
1.0,Cc1ccc2nc(-c3ccc(Br)cc3)oc2c1
1.0,Nc1cc(F)c(I)cc1-c1nc2ccccc2[nH]1
1.0,O=C1CC(c2nc3ccccc3[nH]2)CN1
1.0,Cc1ccc(-c2cccnn2)cc1
1.0,c1ccc(-c2nn[nH]n2)cc1
0.0,Oc1ccc2c(c1)CCC1c3ccccc3CCC21
0.0,CC1=C2c3sc4c(c3N=CC2Oc2ccccc21)CCCC4
0.0,Cc1ccc2cc3nc(N)[nH]c3cc2c1
2.0,Oc1ccc(/C=C/c2ccccc2)nc1
1.0,COc1ccc2c(c1)OC1Cc3ccccc3C1=C2
0.0,c1ccc2c3c([nH]c2c1)CCCC3
2.0,Cc1cccc(C(=O)Nc2cc3c4c(cccc4n2)CC3)c1F
1.0,O/C(=C1/CCc2ccccc21)c1ccc(Br)cc1
0.0,O=C1CCc2c(oc3cc4ccc(Cl)cc4cc23)N1
1.0,O=c1c2[nH]c3c(Br)cccc3c2ccn1-c1ccccc1
1.0,CC1CN2CCCCC2C(=O)N1c1ccc(Br)cc1
0.0,N#Cc1coc2cc(Br)ccc2c1=O
1.0,O=c1cc2n(c3ccccc13)CCN(c1cccc(Cl)c1Cl)C2
1.0,Cc1c(-c2ccc3nccn3c2)cnc2ccccc12
1.0,C[n+]1cnc2ccc(C(=O)O)cc2c1
1.0,S=C1CC(c2ccccc2)=NN1
0.0,Oc1ccc2c(c1)OC1C=Cc3ccccc3C1=C2
1.0,S=c1[nH]nc(-c2ccccc2)[nH]1
0.0,Cc1ccc2c(c1)C1OCN=C(N)[NH+]1C2
2.0,O=C(Nc1ccc(F)cc1Cl)c1ccccc1O
1.0,Cc1c(Cl)cccc1-c1nc(=S)[nH]o1
1.0,CC1(c2ccccc2)N=c2[nH]c3ccccc3c2=N1
1.0,C1=Cc2cccc3c2c(nc2ccc(-c4ccccn4)cc23)C1
0.0,c1ccc2c(c1)[S-]c1nc3c(nc1-2)oc1ccccc13
0.0,Clc1ccc2c(c1)Oc1c(ccc3ocnc13)C2
1.0,Cc1ccccc1-n1c(=O)[nH]c2cc(Cl)ccc2c1=O
0.0,O=C1c2ccccc2OC2c3cccc4cccc(c34)N12
1.0,O=C1CCC(O)(c2ccccc2)C1
1.0,Cc1ccc(-c2cc(=O)n3[nH]c4ccccc4c3n2)cc1
1.0,O=C(O)Nc1ccc2nc(Cl)sc2c1
1.0,Cc1ccc(/C=C2\C=Nc3ccccc32)cc1
1.0,Ic1cccc2nc(-c3ccncn3)[nH]c12
0.0,Cc1ccc2c(c1)c(C)c1n(C)c3cc(Br)ccc3n21
0.0,Cc1ccc2ncc(N)nc2c1C
1.0,O=c1c(-c2ccc3c(c2)OCO3)coc2ccccc12
0.0,C#[N+]c1ccc(C(F)(F)F)cc1
0.0,Nc1ccc2c(c1)OC1=Cc3ccccc3CC1=C2
0.0,Nc1nc2c(c(=O)[nH]1)C1=Nc3cc(Cl)ccc3C1=N2
0.0,Cc1ccc2nc3cc(N)c(=O)n(C)c3cc2c1
